block,trial,s1_state,direction,coherence,response,rt,drift_rate_1,drift_rate_2,bound_1,bound_2,offset_1,offset_2,pair
-0.5,0,TRUE,right,0.076043609,right,0.764097929,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,1,TRUE,right,0.076043609,right,0.633039951,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,2,FALSE,left,0.354077985,left,0.621891975,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,3,FALSE,left,0.354077985,left,0.675309181,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,4,FALSE,left,0.354077985,right,0.650108099,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,5,TRUE,right,0.076043609,right,1.102286816,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,6,TRUE,right,0.076043609,right,0.976006985,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,7,TRUE,left,0.076043609,left,1.143316031,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,8,TRUE,left,0.076043609,left,1.439523935,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,9,FALSE,left,0.354077985,left,1.028903008,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,10,FALSE,left,0.354077985,right,0.611526966,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,11,TRUE,right,0.076043609,right,0.841724157,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,12,TRUE,right,0.076043609,right,0.652467012,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,13,TRUE,left,0.076043609,right,1.070738077,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,14,FALSE,left,0.354077985,left,0.971154928,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,15,FALSE,right,0.354077985,right,0.617671013,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,16,TRUE,right,0.076043609,right,1.033575058,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,17,FALSE,left,0.354077985,right,0.616525888,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,18,FALSE,right,0.354077985,right,0.807216883,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,19,FALSE,left,0.354077985,left,0.868997097,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,20,FALSE,left,0.354077985,left,1.018701077,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,21,FALSE,right,0.354077985,right,1.010430098,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,22,TRUE,right,0.076043609,right,0.876605034,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,23,TRUE,right,0.076043609,right,0.782211065,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,24,FALSE,left,0.354077985,right,1.313820124,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,25,FALSE,right,0.354077985,right,1.795306921,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,26,FALSE,left,0.354077985,left,0.617115974,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,27,FALSE,left,0.354077985,left,0.930216074,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,28,TRUE,right,0.076043609,left,1.45697403,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,29,TRUE,right,0.076043609,right,1.208791018,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,30,TRUE,left,0.076043609,left,0.864009857,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,31,TRUE,right,0.076043609,right,0.722993135,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,32,FALSE,right,0.354077985,right,0.666628122,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,33,FALSE,left,0.354077985,right,0.613398075,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,34,TRUE,right,0.076043609,right,1.229743958,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
-0.5,35,TRUE,right,0.076043609,right,0.816514969,11.09078095,10.39682127,0.651312793,0.149215849,0,0,20220706
