block,trial,s1_state,direction,coherence,response,rt,drift_rate_1,drift_rate_2,bound_1,bound_2,offset_1,offset_2,pair
-0.5,0,FALSE,left,0.139502717,right,1.204285145,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,1,TRUE,right,0.286424122,left,0.790328026,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,2,FALSE,right,0.139502717,right,0.846408129,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,3,TRUE,right,0.286424122,right,0.908849001,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,4,TRUE,right,0.286424122,right,0.921113968,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,5,FALSE,left,0.139502717,right,1.602102041,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,6,FALSE,right,0.139502717,right,1.01392889,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,7,FALSE,left,0.139502717,right,1.427289009,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,8,TRUE,right,0.286424122,right,0.863026857,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,9,TRUE,left,0.286424122,left,0.994657993,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,10,TRUE,left,0.286424122,left,0.833864927,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,11,TRUE,right,0.286424122,right,1.098840952,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,12,TRUE,right,0.286424122,right,0.994626999,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,13,FALSE,right,0.139502717,right,0.916251898,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,14,FALSE,left,0.139502717,right,1.31656003,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,15,TRUE,left,0.286424122,left,0.765049934,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,16,TRUE,left,0.286424122,left,0.533297062,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,17,TRUE,left,0.286424122,right,1.069926023,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,18,TRUE,left,0.286424122,left,1.193591118,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,19,TRUE,right,0.286424122,left,0.865922928,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,20,TRUE,left,0.286424122,right,1.515975952,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,21,FALSE,right,0.139502717,left,1.858236074,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,22,TRUE,right,0.286424122,left,0.992594004,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,23,FALSE,left,0.139502717,left,1.698479891,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,24,TRUE,left,0.286424122,left,1.340008974,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,25,FALSE,left,0.139502717,right,1.198922873,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,26,FALSE,right,0.139502717,right,1.051126003,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,27,FALSE,left,0.139502717,left,0.807853937,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,28,TRUE,right,0.286424122,right,0.796049118,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,29,TRUE,left,0.286424122,left,0.754417896,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,30,TRUE,right,0.286424122,right,0.697494984,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,31,FALSE,right,0.139502717,left,0.957054138,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,32,TRUE,left,0.286424122,left,0.701589108,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,33,FALSE,right,0.139502717,right,1.32825017,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,34,FALSE,left,0.139502717,right,1.214329958,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,35,TRUE,left,0.286424122,left,1.038685083,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,36,FALSE,right,0.139502717,left,0.933074951,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,37,TRUE,left,0.286424122,left,0.83918786,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,38,FALSE,right,0.139502717,right,0.768996,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
-0.5,39,FALSE,right,0.139502717,right,0.803215981,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,0,TRUE,right,0.286424122,right,1.267300129,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,1,TRUE,left,0.286424122,left,1.22597599,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,2,TRUE,right,0.286424122,right,0.837302208,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,3,FALSE,left,0.139502717,left,0.971979141,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,4,TRUE,left,0.286424122,left,0.84693408,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,5,FALSE,right,0.139502717,right,0.66408205,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,6,FALSE,right,0.139502717,right,0.911433935,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,7,FALSE,right,0.139502717,right,0.928556919,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,8,TRUE,left,0.286424122,right,1.051261902,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,9,TRUE,left,0.286424122,left,0.908590078,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,10,FALSE,right,0.139502717,right,0.767172098,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,11,TRUE,left,0.286424122,left,0.697968006,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,12,TRUE,left,0.286424122,right,1.596863031,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,13,TRUE,left,0.286424122,left,0.761156082,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,14,TRUE,right,0.286424122,right,1.117568016,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,15,TRUE,left,0.286424122,left,1.05827713,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,16,TRUE,left,0.286424122,left,0.748565912,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,17,FALSE,right,0.139502717,left,0.952353954,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,18,FALSE,right,0.139502717,left,0.998789072,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,19,FALSE,right,0.139502717,right,0.950996876,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,20,TRUE,left,0.286424122,left,0.563180923,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,21,FALSE,right,0.139502717,right,0.748749971,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,22,FALSE,right,0.139502717,right,0.836829185,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,23,FALSE,right,0.139502717,left,0.904983044,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,24,TRUE,right,0.286424122,right,0.66102314,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,25,TRUE,right,0.286424122,right,0.488153934,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,26,FALSE,left,0.139502717,left,0.848565817,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,27,FALSE,right,0.139502717,right,1.158349991,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,28,TRUE,right,0.286424122,left,0.716189146,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,29,TRUE,right,0.286424122,right,0.673444986,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,30,FALSE,right,0.139502717,right,0.854979992,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,31,TRUE,right,0.286424122,right,0.758462906,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,32,TRUE,left,0.286424122,left,0.82032609,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,33,FALSE,left,0.139502717,right,1.168052912,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,34,TRUE,left,0.286424122,right,0.7628479,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,35,TRUE,left,0.286424122,right,0.677199841,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,36,TRUE,left,0.286424122,right,0.712846041,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,37,FALSE,left,0.139502717,left,0.961611032,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,38,TRUE,right,0.286424122,right,0.885414124,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,39,TRUE,right,0.286424122,right,0.813574076,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,40,FALSE,left,0.139502717,left,0.956785202,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,41,TRUE,left,0.286424122,left,1.290290833,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,42,FALSE,right,0.139502717,right,0.906430006,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,43,FALSE,right,0.139502717,left,0.962171078,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,44,TRUE,left,0.286424122,left,0.96908617,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,45,FALSE,left,0.139502717,right,0.850515127,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,46,FALSE,left,0.139502717,left,0.999994993,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,47,FALSE,left,0.139502717,left,1.014114857,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,48,TRUE,right,0.286424122,left,0.997686863,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,49,TRUE,right,0.286424122,right,0.765964031,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,50,FALSE,right,0.139502717,left,0.827203035,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,51,FALSE,right,0.139502717,left,1.023613214,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,52,FALSE,left,0.139502717,left,1.046615839,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,53,TRUE,left,0.286424122,left,0.808046103,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,54,FALSE,right,0.139502717,left,1.032992125,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,55,FALSE,left,0.139502717,left,0.950585127,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,56,FALSE,left,0.139502717,left,1.020426035,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,57,TRUE,right,0.286424122,right,1.562871933,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
0,58,TRUE,right,0.286424122,right,0.650000095,2.757087266,5.685789478,0.69559164,0.692533867,0,0,202207082
