block,trial,s1_state,direction,coherence,response,rt,drift_rate_1,drift_rate_2,bound_1,bound_2,offset_1,offset_2,pair
-0.5,0,TRUE,right,0.189119553,right,1.465365171,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,1,TRUE,right,0.189119553,right,1.408757925,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,2,FALSE,left,0.177433269,left,0.728495121,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,3,FALSE,right,0.177433269,right,0.465185881,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,4,TRUE,left,0.189119553,right,1.620121956,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,5,TRUE,right,0.189119553,right,0.966659069,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,6,TRUE,left,0.189119553,left,0.915218115,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,7,TRUE,left,0.189119553,left,0.702239037,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,8,FALSE,right,0.177433269,right,0.597794056,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,9,FALSE,left,0.177433269,left,0.462310791,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,10,TRUE,right,0.189119553,right,0.89707303,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,11,FALSE,right,0.177433269,right,0.645139933,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,12,FALSE,right,0.177433269,right,0.500607967,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,13,FALSE,left,0.177433269,right,0.43363595,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,14,TRUE,right,0.189119553,right,0.98054409,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
-0.5,15,FALSE,right,0.177433269,right,0.479094982,3.464830184,6.141341374,0.838293444,0.50409938,0,0,20220718
