block,trial,s1_state,direction,coherence,response,rt,drift_rate_1,drift_rate_2,bound_1,bound_2,offset_1,offset_2,pair
-0.5,0,FALSE,left,0.250974169,left,3.04219389,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,1,TRUE,right,0.233247619,right,0.561424017,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,2,TRUE,left,0.233247619,right,1.335906029,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,3,FALSE,left,0.250974169,left,0.946435928,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,4,FALSE,right,0.250974169,left,1.135045052,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,5,TRUE,left,0.233247619,left,0.728141069,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,6,FALSE,left,0.250974169,right,0.625340939,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,7,FALSE,left,0.250974169,left,1.161964893,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,8,FALSE,left,0.250974169,left,0.92671299,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,9,FALSE,right,0.250974169,right,1.207940102,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,10,FALSE,right,0.250974169,left,0.723811865,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,11,TRUE,right,0.233247619,left,1.005522013,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,12,FALSE,left,0.250974169,left,0.982172966,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,13,FALSE,right,0.250974169,right,1.103142023,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,14,TRUE,left,0.233247619,right,0.904639006,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,15,FALSE,left,0.250974169,left,1.046591043,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,16,FALSE,right,0.250974169,left,1.024751186,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,17,FALSE,left,0.250974169,left,1.379817009,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,18,FALSE,left,0.250974169,right,0.948961973,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,19,TRUE,right,0.233247619,right,0.666682959,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,20,FALSE,right,0.250974169,left,1.048861027,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,21,TRUE,left,0.233247619,left,0.986966848,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,22,TRUE,left,0.233247619,right,0.627727032,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,23,FALSE,right,0.250974169,right,0.933079004,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,24,FALSE,left,0.250974169,left,0.631177902,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,25,FALSE,left,0.250974169,left,0.711689949,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,26,FALSE,right,0.250974169,left,1.135066032,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,27,FALSE,right,0.250974169,right,0.871828794,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,28,TRUE,right,0.233247619,right,0.634925127,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,29,FALSE,right,0.250974169,left,1.152061939,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,30,FALSE,left,0.250974169,left,0.788910151,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,31,FALSE,left,0.250974169,left,1.137145996,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,32,FALSE,right,0.250974169,right,0.992982149,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,33,TRUE,right,0.233247619,right,0.606944084,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,34,FALSE,left,0.250974169,left,0.955673933,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,35,TRUE,right,0.233247619,left,0.672811031,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,36,TRUE,right,0.233247619,right,1.145529032,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,37,FALSE,left,0.250974169,left,0.662041903,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,38,FALSE,right,0.250974169,left,0.90296793,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
-0.5,39,TRUE,right,0.233247619,right,0.587192059,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,0,FALSE,right,0.250974169,right,1.557562828,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,1,TRUE,right,0.233247619,right,0.741880894,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,2,TRUE,right,0.233247619,right,0.590043068,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,3,FALSE,left,0.250974169,left,0.606580019,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,4,FALSE,right,0.250974169,right,0.591108084,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,5,FALSE,right,0.250974169,right,0.618328094,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,6,FALSE,left,0.250974169,right,0.729547024,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,7,TRUE,right,0.233247619,left,0.948918104,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,8,FALSE,left,0.250974169,right,0.953274965,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,9,TRUE,left,0.233247619,left,0.768143892,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,10,TRUE,right,0.233247619,right,0.573471069,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,11,FALSE,right,0.250974169,right,1.00658989,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,12,TRUE,left,0.233247619,left,0.657235146,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,13,TRUE,left,0.233247619,left,0.71387887,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,14,FALSE,right,0.250974169,left,1.167840958,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,15,TRUE,left,0.233247619,left,0.506318808,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
0,16,FALSE,left,0.250974169,right,1.005680084,2.874114787,2.620086414,0.819394659,0.835352577,0,0,20220705
