block,trial,s1_state,direction,coherence,response,rt,drift_rate_1,drift_rate_2,bound_1,bound_2,offset_1,offset_2,pair
-0.5,0,TRUE,left,0.17838505,right,1.231981039,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,1,TRUE,right,0.17838505,right,1.080129862,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,2,FALSE,right,0.202357938,left,1.63612318,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,3,FALSE,left,0.202357938,left,0.811743975,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,4,TRUE,left,0.17838505,left,0.885499954,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,5,FALSE,right,0.202357938,right,0.790037155,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,6,FALSE,right,0.202357938,right,0.81999898,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,7,TRUE,left,0.17838505,right,0.825906038,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,8,TRUE,left,0.17838505,left,1.245349884,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,9,TRUE,right,0.17838505,right,1.059756994,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,10,FALSE,left,0.202357938,left,0.811084986,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,11,FALSE,left,0.202357938,left,0.677363873,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,12,TRUE,left,0.17838505,left,0.961322069,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,13,TRUE,left,0.17838505,left,1.007227898,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,14,FALSE,right,0.202357938,right,0.701436996,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,15,FALSE,left,0.202357938,left,0.902167082,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,16,FALSE,right,0.202357938,right,0.774827957,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,17,FALSE,right,0.202357938,right,0.821675062,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,18,TRUE,right,0.17838505,right,1.132870913,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,19,TRUE,right,0.17838505,left,1.39164114,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
-0.5,20,TRUE,right,0.17838505,left,1.754490137,4.661172428,3.412908628,0.660633868,0.795370631,0,0,20220717
