block,trial,s1_state,direction,coherence,response,rt,drift_rate_1,drift_rate_2,bound_1,bound_2,offset_1,offset_2,pair
-0.5,0,FALSE,left,0.293569522,left,2.49536705,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,1,TRUE,right,0.264105822,right,0.513170958,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,2,TRUE,left,0.264105822,right,0.390064001,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,3,FALSE,left,0.293569522,right,0.560987949,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,4,TRUE,left,0.264105822,left,0.579965115,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,5,FALSE,right,0.293569522,right,0.496829987,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,6,TRUE,right,0.264105822,right,0.473901033,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,7,FALSE,left,0.293569522,left,0.443769932,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,8,FALSE,right,0.293569522,left,0.774785995,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,9,FALSE,right,0.293569522,right,0.44092083,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,10,TRUE,left,0.264105822,left,0.535830975,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,11,FALSE,left,0.293569522,right,0.77908206,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,12,FALSE,left,0.293569522,right,0.602451801,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,13,FALSE,left,0.293569522,right,0.454374075,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,14,FALSE,right,0.293569522,left,0.452775955,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,15,FALSE,left,0.293569522,right,0.290627956,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,16,TRUE,left,0.264105822,right,0.454770088,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,17,FALSE,left,0.293569522,left,0.690412998,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,18,TRUE,left,0.264105822,left,0.593445063,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,19,TRUE,right,0.264105822,right,0.618552923,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,20,FALSE,right,0.293569522,right,0.476578951,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,21,FALSE,left,0.293569522,right,0.58957386,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,22,FALSE,left,0.293569522,left,0.41169095,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,23,TRUE,right,0.264105822,right,0.411515951,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,24,TRUE,left,0.264105822,left,0.584671021,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,25,FALSE,left,0.293569522,right,0.435127974,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,26,TRUE,right,0.264105822,left,0.5185709,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,27,FALSE,left,0.293569522,left,0.361883879,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,28,FALSE,right,0.293569522,right,0.444813013,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,29,TRUE,left,0.264105822,left,0.469486952,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,30,FALSE,right,0.293569522,right,0.535111189,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,31,FALSE,right,0.293569522,right,0.413336039,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,32,TRUE,right,0.264105822,left,0.839166164,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,33,TRUE,right,0.264105822,left,0.799564123,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,34,TRUE,left,0.264105822,left,0.702678919,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,35,TRUE,right,0.264105822,right,0.514150858,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,36,FALSE,right,0.293569522,right,0.521363974,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,37,TRUE,right,0.264105822,right,0.619807959,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,38,TRUE,right,0.264105822,right,0.516469955,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
-0.5,39,TRUE,right,0.264105822,right,0.771904945,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,0,FALSE,right,0.293569522,right,0.540086031,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,1,TRUE,left,0.264105822,right,0.951939106,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,2,TRUE,right,0.264105822,right,0.460109949,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,3,TRUE,left,0.264105822,right,0.469375134,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,4,FALSE,right,0.293569522,right,0.384442091,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,5,TRUE,left,0.264105822,right,0.643271208,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,6,TRUE,right,0.264105822,right,0.653398991,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,7,FALSE,left,0.293569522,left,0.550516129,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,8,TRUE,left,0.264105822,right,0.600965977,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,9,FALSE,left,0.293569522,right,0.485012054,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,10,TRUE,left,0.264105822,left,0.555105925,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,11,FALSE,left,0.293569522,left,0.4937222,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,12,TRUE,right,0.264105822,left,0.526182175,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,13,TRUE,left,0.264105822,right,1.07882905,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,14,FALSE,left,0.293569522,right,0.410774946,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,15,FALSE,left,0.293569522,left,0.498646975,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,16,FALSE,right,0.293569522,left,0.663667917,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,17,TRUE,right,0.264105822,right,0.703559875,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,18,TRUE,left,0.264105822,left,0.88152194,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,19,FALSE,left,0.293569522,right,0.388658047,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,20,FALSE,left,0.293569522,left,0.541935921,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,21,TRUE,right,0.264105822,right,1.103914976,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,22,FALSE,right,0.293569522,right,0.584321976,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,23,TRUE,right,0.264105822,left,0.629799843,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,24,TRUE,right,0.264105822,left,0.789633989,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,25,FALSE,left,0.293569522,left,0.435174942,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,26,TRUE,right,0.264105822,right,0.979407072,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
0,27,TRUE,right,0.264105822,left,0.588279009,2.650542065,5.068529509,0.784696617,0.369165843,0,0,20220707
