block,trial,s1_state,direction,coherence,response,rt,drift_rate_1,drift_rate_2,bound_1,bound_2,offset_1,offset_2,pair
-0.5,0,True,right,0.189948780384832,left,1.4137601852417,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,1,False,right,0.194324306812252,left,0.804239988327026,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,2,False,right,0.194324306812252,right,0.848391056060791,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,3,True,left,0.189948780384832,right,1.27296900749207,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,4,False,right,0.194324306812252,right,0.6356041431427,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,5,False,right,0.194324306812252,right,0.70517897605896,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,6,False,left,0.194324306812252,left,0.614134073257446,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,7,False,left,0.194324306812252,left,0.613291025161743,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,8,False,left,0.194324306812252,left,0.455374956130982,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,9,True,right,0.189948780384832,right,0.862935066223145,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,10,False,right,0.194324306812252,right,0.740779876708984,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,11,False,left,0.194324306812252,left,0.823285102844238,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,12,False,right,0.194324306812252,left,0.466747045516968,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,13,False,left,0.194324306812252,left,0.804037094116211,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,14,True,right,0.189948780384832,right,0.813609123229981,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,15,True,left,0.189948780384832,right,1.25408983230591,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,16,True,left,0.189948780384832,right,1.38331604003906,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,17,True,right,0.189948780384832,left,1.14083385467529,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,18,False,left,0.194324306812252,right,1.12128710746765,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,19,False,left,0.194324306812252,left,0.587597846984863,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,20,False,left,0.194324306812252,left,0.733975887298584,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,21,False,right,0.194324306812252,right,0.923739910125732,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,22,True,left,0.189948780384832,left,0.995303153991699,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,23,False,right,0.194324306812252,right,1.94662404060364,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,24,False,right,0.194324306812252,left,0.616297006607056,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,25,False,right,0.194324306812252,right,0.68347692489624,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,26,False,left,0.194324306812252,left,0.754861116409302,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,27,False,left,0.194324306812252,left,0.610138893127441,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,28,True,right,0.189948780384832,right,1.34135389328003,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,29,True,right,0.189948780384832,left,1.56772089004517,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,30,True,left,0.189948780384832,left,1.26480293273926,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,31,False,left,0.194324306812252,right,1.1576521396637,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,32,True,right,0.189948780384832,right,1.11551785469055,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,33,False,left,0.194324306812252,right,1.09006190299988,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,34,True,right,0.189948780384832,left,1.28903293609619,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,35,False,right,0.194324306812252,right,0.944391012191772,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,36,False,left,0.194324306812252,right,0.894009828567505,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,37,True,right,0.189948780384832,right,1.01968717575073,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,38,True,left,0.189948780384832,left,2.16877222061157,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
-0.5,39,False,left,0.194324306812252,left,1.0924379825592,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
0,0,False,right,0.194324306812252,right,0.764492988586426,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
0,1,True,right,0.189948780384832,right,1.13511800765991,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
0,2,True,right,0.189948780384832,left,1.28287601470947,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
0,3,True,left,0.189948780384832,left,1.40244007110596,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
0,4,False,right,0.194324306812252,right,0.56007719039917,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
0,5,False,left,0.194324306812252,right,0.499729871749878,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
0,6,False,right,0.194324306812252,right,0.683838844299316,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
0,7,True,left,0.189948780384832,left,1.11764407157898,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
0,8,False,left,0.194324306812252,right,0.910348892211914,4.29582080193698,5.5713253449599,0.673180908481887,0.507374702086677,0,0,20220523
